"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Total Cost IC",
"No NIH Category available","Adherence;Adolescent;Affect;American Cancer Society;Area;Award;Behavior Therapy;Behavioral;Behavioral Sciences;Biological;Biological Markers;Biometry;Brain;Cancer Burden;Cancer Center Support Grant;Cancer Control;Cancer Control Research Program;Cancer Etiology;Cancer Patient;Cancer Survivor;Cancer Survivorship;Cardiovascular Diseases;Caring;Catchment Area;Centers for Disease Control and Prevention (U.S.);Childhood;Collaborations;Communities;Community Outreach;DNA;Data;Discipline;Discipline of Nursing;Disparity;Economics;Environment;Environmental Exposure;Epidemiology;Exposure to;Funding;Goals;HPV vaccine acceptance;Health;Healthcare;Human Papilloma Virus Vaccination;Individual;Inequity;International;Intervention;Journals;Knowledge;Late Effects;Leadership;Malignant Neoplasms;Medicine;Mission;Oncology;Outcome;Patient Outcomes Assessments;Peer Review;Policies;Population;Population Research;Prevention Research;Primary Care;Public Health;Public Health Schools;Publishing;Quality of Care;Quality of life;Recurrence;Research;Research Activity;Research Personnel;Research Training;Resource Sharing;Risk Factors;Risk Reduction;Rural;School Nursing;Scientist;Societies;Soot;Strategic Planning;Survivors;Symptoms;System;Technology;Underrepresented Populations;Universities;Weight Gain;biobehavior;burden of illness;cancer care;cancer diagnosis;cancer epidemiology;cancer prevention;cancer risk;career;community advisory board;community collaboration;community engagement;community research;health equity;health organization;human disease;improved;innovation;learning community;medical schools;member;neoplasm registry;next generation;prevent;programs;recruit;reduce tobacco use;social;success;survivorship;symptom management;therapy development;tobacco control;ward;weight gain prevention","Cancer Prevention and Control Research Program","n/a","6405931","LASH, TIMOTHY L.","Not Applicable","05","Unavailable","066469933","S352L5PJLMP8","066469933","S352L5PJLMP8","US","33.791247","-84.3249","2384501","EMORY UNIVERSITY","ATLANTA","GA","Domestic Higher Education","303221007","UNITED STATES","N","5/1/2024 12:00:00 AM","4/30/2025 12:00:00 AM"," ","Research Centers","2024"," ","55733"," ","35612","20121"," ","NCI","10848271","3/11/2024 12:00:00 AM","PAR-21-321","5P30CA138292-15","5","P30","CA","138292","15"," "," ","4/7/2009 12:00:00 AM","3/31/2028 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","5141"," ",
"No NIH Category available","Address;Aftercare;Age;Breast Cancer Risk Factor;Breast Cancer survivor;California;Cancer Detection;Cancer Model;Cancer Patient;Cancer Survivor;Cancer Survivorship;Caring;Chronic Disease;Cluster randomized trial;Colonoscopy;Colorectal Cancer;Communication;Communities;Complex;Computerized Medical Record;Data;Detection;Disease;Effectiveness;Growth;Guidelines;Healthcare;Healthcare Systems;Hospitalization;Hospitals;Individual;Institution;Integrated Health Care Systems;International;Knowledge;Late Effects;Lipids;Literature;Localized Disease;Malignant Breast Neoplasm;Malignant Neoplasms;Mammography;Managed Care;Measures;Medical;Medical center;Modeling;Nature;Newly Diagnosed;Observational Study;Oncology;Outcome;Patient Outcomes Assessments;Patients;Perception;Phase;Physicians;Pilot Projects;Population;Preventive care;Primary Care;Provider;Quality of Care;Quality of life;Recommendation;Recurrence;Reporting;Research;Resources;Risk;Risk Management;Self Efficacy;Services;Structure;Survivors;System;Testing;Time;Training;Vaccination;Work;cancer recurrence;cancer survivorship care;cancer therapy;cardiovascular risk factor;care coordination;care delivery;care systems;comorbidity;disorder prevention;efficacy evaluation;efficacy testing;health care settings;improved;novel;patient population;patient-clinician communication;preference;primary care provider;primary outcome;prospective;psychosocial;randomized trial;risk stratification;screening;secondary outcome;survivorship;treatment as usual;trial comparing;urgent care","The EPICS (Engaging Primary care in Cancer Survivorship) study: A trial of novel models of care for cancer survivors","PROJECT NARRATIVEWe are currently facing unprecedented challenges in survivorship care delivery including serious gaps insurvivorship care (e.g. underuse of guideline-recommended cancer surveillance services and underuse ofrecommended preventive care services); these issues are compounded by the growing population of cancersurvivors and the predicted oncology workforce shortage. To address these issues we will conduct aprospective cluster randomized trial of two models of cancer survivorship care in early-stage colorectal cancerand breast cancer survivors cared for in a community-based integrated health care setting. We will test theefficacy of an embedded PCP model (experimental condition) in which survivorship-trained PCPs areembedded within an oncology practice compared to the oncology physician model (usual care) that is thedefault condition in this healthcare system.","11231760","HAHN, ERIN ELIZABETH","Not Applicable","12","Unavailable","150829349","P1RTMASB37B5","150829349","P1RTMASB37B5","US","37.805769","-122.265214","3497005","KAISER FOUNDATION RESEARCH INSTITUTE","Oakland","CA","Research Institutes","946123610","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM","353","Non-SBIR/STTR","2024","716227"," ","NCI","462544","253683"," ","NCI","10848217","5/13/2024 12:00:00 AM","RFA-CA-19-035","5R01CA249419-05","5","R01","CA","249419","05"," ","MOLLICA, MICHELLE A","6/1/2020 12:00:00 AM","5/31/2025 12:00:00 AM","ZCA1-SRB-K(J1)R"," ","716227",
"No NIH Category available","Address;Admission activity;Anxiety;Award;Awareness;Behavior;Caregiver support;Caregiver well-being;Caregivers;Caring;Clinical;Clinical Trials;Complex;Conduct Clinical Trials;Critical Care;Critical Illness;Data;Development;Distress;Elements;Emotional;Environment;Evidence based practice;Family;Family Caregiver;Feedback;Funding;Goals;Health;Hospitalization;Impairment;Injury;Intervention;Interview;Knowledge acquisition;Length of Stay;Life;Link;Medical;Mental Depression;Mentorship;Methodology;Methods;Nurses;Outcome;Outcome Measure;Patient Admission;Patients;Pattern;Persons;Pilot Projects;Play;Process;Psychological Impact;Psychosocial Assessment and Care;Qualitative Methods;Readiness;Recovery;Research;Research Methodology;Research Personnel;Research Proposals;Resources;Role;Scientist;Self Care;Social support;Structure;Surveys;Survivors;Technology;Testing;Time;Training;Veterans;Visual;Vulnerable Populations;Work;acceptability and feasibility;anxiety reduction;arm;career;connected care;decision-making capacity;design;effectiveness/implementation trial;experience;family support;feasibility testing;informal caregiver;information processing;innovation;intervention delivery;loved ones;meetings;member;mobile computing;patient engagement;programs;psychological distress;psychosocial;psychosocial resources;survivorship;technology intervention;theories;therapy design;therapy development;tool;usability;user centered design;virtual healthcare","Family-Centered Co-Design of a Technology-Facilitated Intervention for Family Caregivers of Critical Care Survivors","Family caregivers play a central role during a Veterans critical care (medical care for a life-threatening illnessor injury) hospitalization and survivorship. Yet up to 73% of caregivers experience anxiety and 97%experience depression during a critically ill patients hospital stay. Addressing family caregiver needsincluding informational and emotional processing social support and self-care during key moments early ina familys crisis may moderate the development of caregiver psychological distress. This research focuseson determining common key moments in the caregiver experience that can lead to distress (Aim 1)designing psychosocial intervention components to meet caregiver needs during these key moments (Aim 2)and testing the feasibility and acceptability of these components (Aim 3) which seek to moderate thedevelopment of psychological distress among caregivers of critically ill Veterans.","14203196","BLOK, AMANDA CONSTANCE","Not Applicable","06","Unavailable","096318480","EM8LUADP6D31","096318480","EM8LUADP6D31","US","42.286121","-83.716708","481045","VETERANS HEALTH ADMINISTRATION","ANN ARBOR","MI","Independent Hospitals","481052303","UNITED STATES","N","5/1/2024 12:00:00 AM","4/30/2025 12:00:00 AM","999","Other","2024"," "," "," "," "," "," ","VA","10848196","5/7/2024 12:00:00 AM","RFA-HX-22-009","5IK2HX003530-02","5","IK2","HX","003530","02"," "," ","5/1/2023 12:00:00 AM","4/30/2028 12:00:00 AM","Mentored Research[MRA0]"," "," ",
"No NIH Category available","Address;Aging;Area;Awareness;Behavior Therapy;Cancer Center;Cancer Control;Cancer Survivor;Caring;Catchment Area;Cells;Clinical;Collaborations;Communities;Community Outreach;Development;Disparity;Doctor of Philosophy;Education;Equity;Event;Faculty;Faculty Recruitment;Fostering;Funding;Future;Genetic Risk;Goals;Grant;Health;Health Disparities Research;Health Policy;Health system;Incidence;Individual;Internships;Intervention;Intervention Studies;Joints;Journals;Knowledge;Malignant Neoplasms;Methods;Minority;Mission;Molecular;Morbidity - disease rate;NCI-Designated Cancer Center;Outcome;Patient-Focused Outcomes;Physicians;Pilot Projects;Policies;Population;Population Sciences;Prevention;Prognosis;Public Health;Publishing;Quality of Care;Quality of life;Research;Research Personnel;Risk;Scientific Advances and Accomplishments;Scientist;Screening for cancer;Societies;Strategic Planning;Structural Racism;Students;Survivors;Toxic effect;Translating;Translational Research;Treatment outcome;Treatment-related toxicity;United States National Institutes of Health;Universities;Work;biomarker identification;cancer care;cancer education;cancer health disparity;cancer risk;care delivery;clinical practice;community engagement;community-level factor;compliance behavior;computer framework;dietary;health care availability;health disparity;implementation science;implementation strategy;improved;improved outcome;investigator-initiated trial;member;mortality;new technology;novel marker;outcome disparities;patient population;personalized intervention;population based;population health;programs;quality of life for cancer survivors;recruit;structural determinants;survivorship;symposium;therapy development;translational pipeline;tumor progression;working group","Research Program: Cancer Risk and Control (CRiC)","n/a","8881190","SIMONE, NICOLE L","Not Applicable","02","Unavailable","053284659","R8JEVL4ULGB7","053284659","R8JEVL4ULGB7","US","39.948207","-75.157825","4050801","THOMAS JEFFERSON UNIVERSITY","PHILADELPHIA","PA","Domestic Higher Education","191074418","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM"," ","Research Centers","2024"," ","58948"," ","37787","21161"," ","NCI","10848045","4/9/2024 12:00:00 AM","PAR-21-321","2P30CA056036-24","2","P30","CA","056036","24"," "," ","6/22/1995 12:00:00 AM","5/31/2029 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","7264"," ",
"No NIH Category available","Address;Adult;Advanced Malignant Neoplasm;Area;Basic Science;Belief;Bioinformatics;Biometry;Breathing;Cancer Burden;Cancer Center;Cancer Control;Cancer Detection;Cancer Patient;Catchment Area;Characteristics;Charge;Cities;Clinical;Clinical Research;Clinical Trials;Collaborations;Communities;Community Outreach;Compassion;Comprehensive Cancer Center;Comprehensive Health Care;County;Data Science;Delaware;Development;Discipline;Disease;Disparity;Disparity population;Diverse Workforce;Effectiveness;Environment;Equity;Evolution;Family;Flow Cytometry;Fostering;Funding;Goals;Heart;Hospitals;Human;Immune Targeting;Immunologic Monitoring;Incidence;Informatics;Infrastructure;Institution;Intervention;Investments;Joints;Lead;Leadership;Life Style;Longevity;Malignant Neoplasms;Medical Research;Mission;NCI-Designated Cancer Center;New Jersey;Outcome;Outreach Research;Pathology;Peer Review;Pennsylvania;Phase;Philadelphia;Physicians;Population;Population Research;Prevention strategy;Quality of life;Regulation;Research;Research Personnel;Resource Sharing;Role;Scientist;Services;Strategic Planning;Talents;Testing;Training;Training and Education;Translational Research;Underserved Population;United States National Institutes of Health;Universities;Urban Community;Vision;Work;anti-cancer research;barrier to care;bench to bedside;bioimaging;cancer care;cancer genomics;cancer health disparity;cancer risk;cancer therapy;cellular oncology;clinical care;college;community engagement;disparity elimination;diversity and equity;diversity and inclusion;equity diversity and inclusion;first-in-human;health equity;health equity promotion;immunoregulation;improved;innovation;interdisciplinary collaboration;lens;member;molecular oncology;mortality;next generation;novel;novel strategies;operation;personalized cancer care;population health;programs;safety net;social health determinants;structural biology;survivorship;translational oncology;underserved community","Translational Research in Cancer","PROJECT NARRATIVE: OVERALL AND SIX ESSENTIAL CHARACTERISTICSThe overarching goal of the Sidney Kimmel Cancer Center (SKCC) is to leverage research expertise to reducethe overall incidence burden and mortality from cancer in Greater Philadelphia and beyond. SKCC goals arerealized through unique strengths in addressing cancer problems through collaboration across basic clinicaland population research disciplines. SKCC is nucleated at Thomas Jefferson University (TJU) and enriched byfully integrated research consortium partner from Drexel University (DU); building on these strengths SKCCfocuses on addressing catchment area needs through nurturing transdisciplinary research expandinginnovative research capabilities extending outreach and clinical research into the community and enhancingthe pace of bench-to-bedside discovery.","15023178","CHAPMAN, ANDREW ","Not Applicable","02","INTERNAL MEDICINE/MEDICINE","053284659","R8JEVL4ULGB7","053284659","R8JEVL4ULGB7","US","39.948207","-75.157825","4050801","THOMAS JEFFERSON UNIVERSITY","PHILADELPHIA","PA","SCHOOLS OF MEDICINE","191074418","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM","397","Research Centers","2024","3107901"," ","NCI","2000000","1107901"," ","NCI","10848041","4/9/2024 12:00:00 AM","PAR-21-321","2P30CA056036-24","2","P30","CA","056036","24"," ","PTAK, KRZYSZTOF","6/22/1995 12:00:00 AM","5/31/2029 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]"," ","3107901",
"No NIH Category available","Address;Adherence;Advanced Malignant Neoplasm;Area;Behavioral;Biological;Biological Markers;Cancer Center;Cancer Center Support Grant;Cancer Control;Cancer Control Research;Cancer health equity;Catchment Area;Clinical Research;Clinical Treatment;Collaborations;Communities;Community Health;Community Outreach;Development;Disparity;Doctor of Philosophy;Early Diagnosis;Ensure;Faculty Recruitment;Fostering;Foundations;Funding;Future;Geography;Goals;Grant;Growth;Head and Neck Surgery;Health;Health Services Research;Health system;Human Papillomavirus;Incidence;Individual;Inequity;Interdisciplinary Study;Internal Medicine;Intervention;Investments;Journals;K-Series Research Career Programs;Knowledge;Malignant Neoplasms;Malignant neoplasm of cervix uteri;Medical;Morbidity - disease rate;Otolaryngology;Outcomes Research;Outcomes and Health Services Research;Peer Review;Physicians;Policies;Population;Population Heterogeneity;Population Research;Population Sciences;Population Study;Positioning Attribute;Prevention;Publications;Publishing;Quality of life;Research;Research Personnel;Resource Sharing;Risk;Risk Behaviors;Risk Factors;Science;Scientist;Screening for cancer;Series;Shapes;South Carolina;Strategic Planning;System;Tobacco Use Cessation;Translating;Underrepresented Minority;Underserved Population;Universities;Vision;Woman;Work;cancer epidemiology;cancer health disparity;cancer prevention;cancer risk;care delivery;college;community engagement;cost effective;disparities in morbidity;disparity elimination;head and neck cancer patient;health care delivery;health determinants;health disparity;health equity;health inequalities;health organization;improved;innovation;interdisciplinary collaboration;lung cancer screening;meetings;member;mortality;mortality disparity;next generation;novel;novel marker;population health;prevent;programs;recruit;smoking prevalence;social health determinants;survivorship;synergism;system-level barriers;therapy development;tobacco control;treatment trial;uptake","Cancer Control Program","n/a","6517267","CARPENTER, MATTHEW J","Not Applicable","06","Unavailable","183710748","NHV3GTWSALA7","183710748","NHV3GTWSALA7","US","32.786754","-79.947265","7575301","MEDICAL UNIVERSITY OF SOUTH CAROLINA","CHARLESTON","SC","Domestic Higher Education","294074636","UNITED STATES","N","4/1/2024 12:00:00 AM","3/31/2025 12:00:00 AM"," ","Research Centers","2024"," ","60838"," ","40290","20548"," ","NCI","10847768","4/15/2024 12:00:00 AM","PAR-21-321","2P30CA138313-16","2","P30","CA","138313","16"," "," ","4/1/2009 12:00:00 AM","3/31/2029 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","7167"," ",
"No NIH Category available","Administrative Supplement;Advisory Committees;Area;Award;Basic Science;Budgets;Businesses;Cancer Biology;Cancer Center;Cancer Center Support Grant;Cancer health equity;Catchment Area;Clinical;Clinical Investigator;Collaborations;Communication;Communities;Community Health Education;Community Outreach;Consultations;Cost Effective Management;Data;Data Reporting;Development;Doctor of Philosophy;Documentation;Education;Environment;Equipment;Evaluation;Extramural Activities;Faculty;Faculty Recruitment;Fees;Financial Support;Fostering;Foundations;Funding;Funding Mechanisms;Funding Opportunities;Goals;Grant;Guidelines;Human Resources;Infrastructure;Investments;Leadership;Malignant Neoplasms;Measures;Medical;Mission;Monitor;NCI Center for Cancer Research;Outcomes Research;Pilot Projects;Policies;Positioning Attribute;Process;Productivity;Public Relations;Publications;Reporting;Research;Research Activity;Research Infrastructure;Research Peer Review;Research Personnel;Research Project Grants;Research Support;Resource Sharing;Resources;Science;Services;South Carolina;Strategic Planning;Technology;Training;Training and Education;United States National Institutes of Health;Universities;Update;Wages;anti-cancer research;base;cancer research center director;community engagement;dashboard;improved;interdisciplinary collaboration;meetings;member;programs;recruit;social health determinants;survivorship;symposium;tumor immunology","Cancer Center Administration","n/a","10648909","POOLE, TRAVIS I.","Not Applicable","06","Unavailable","183710748","NHV3GTWSALA7","183710748","NHV3GTWSALA7","US","32.786754","-79.947265","7575301","MEDICAL UNIVERSITY OF SOUTH CAROLINA","CHARLESTON","SC","Domestic Higher Education","294074636","UNITED STATES","N","4/1/2024 12:00:00 AM","3/31/2025 12:00:00 AM"," ","Research Centers","2024"," ","182743"," ","121022","61721"," ","NCI","10847764","4/15/2024 12:00:00 AM","PAR-21-321","2P30CA138313-16","2","P30","CA","138313","16"," "," ","4/1/2009 12:00:00 AM","3/31/2029 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","7163"," ",
"No NIH Category available","20 year old;Address;Adolescent;Adolescent and Young Adult;Adult;Aftercare;Age;Alkylating Agents;Anthracycline;Award;Canada;Cancer Survivor;Cancer Survivorship;Cardiac;Cardiotoxicity;Cardiovascular Diseases;Cardiovascular system;Cessation of life;Chest;Child;Childhood Cancer Survivor Study;Childhood Cancer Treatment;Combination Drug Therapy;Data;Data Analyses;Dedications;Development;Development Plans;Diabetes Mellitus;Diagnosis;Dyslipidemias;Event;Exercise;Foundations;Funding;General Population;Goals;Health Promotion;Heart Valve Diseases;Heart failure;Hodgkin Disease;Hypertension;Incidence;Individual;Intention;Intervention;Knowledge;Late Effects;Life;Malignant Childhood Neoplasm;Malignant Neoplasms;Metabolic;Methods;Monoclonal Antibodies;Morbidity - disease rate;Myocardial Infarction;Myocardial Ischemia;National Cancer Institute;Neck;Nurses;Obesity;Oncology Nurse;Patient Self-Report;Physical Fitness;Physical activity;Play;Population;Prospective cohort study;Radiation;Reporting;Research;Research Personnel;Resources;Risk Factors;Role;Scientist;Siblings;Site;Stroke;Structure;Survivors;Testing;Time;Topoisomerase Inhibitors;Training;Tyrosine Kinase Inhibitor;United States;Work;age group;cancer complication;cancer therapy;cancer type;cardiovascular risk factor;career;career development;chemoradiation;chemotherapy;clinical care;cohort;experience;improved;mortality;mortality risk;negative affect;quality of life for cancer survivors;research and development;risk stratification;secondary analysis;skills;survivorship;young adult","Incidence and Time on Onset of Cardiovascular Risk Factors and Cardiovascular Disease in Adult Survivors of Adolescent and Young Adult Cancer and Association with Exercise","PROJECT NARRATIVECardiovascular complications negatively affect the quality and quantity of life in cancer survivors. This projectwill explore the role that known cardiotoxic treatments have on cardiovascular complications and the roleexercise may play in mitigating these late effects within a specific age group (those diagnosed between the agesof 15 and 20 years old) of cancer survivors. This award will support my development towards becoming anindependent nurse scientist dedicated to understanding the effects of cardiotoxic treatments on adolescent andyoung adult cancer survivors.","77796861","HOOVER, BECKY LEIGH","Not Applicable","04","NONE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.9316","-79.057377","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","ORGANIZED RESEARCH UNITS","275995023","UNITED STATES","N","5/15/2024 12:00:00 AM","5/14/2025 12:00:00 AM","398","Training, Individual","2024","41850"," ","NCI","41850","0"," ","NCI","10846577","5/21/2024 12:00:00 AM","PA-21-051","5F31CA275332-02","5","F31","CA","275332","02"," ","BOULANGER-ESPEUT, CORINNE A","5/15/2023 12:00:00 AM","5/14/2025 12:00:00 AM","Special Emphasis Panel[ZRG1-F18-L(20)L]"," ","41850",
"No NIH Category available"," ","Accelerated biological and phenotypic aging in hematopoietic cell transplant survivors: Social support as a protective factor","RELEVANCE TO PUBLIC HEALTHHematopoietic cell transplantation (HCT) is a widely used treatment for hematologic cancers; however it canaccelerate biological aging in recipients by up to 15 years and many survivors experience long-term symptomsthat resemble an accelerated aging phenotype. This project aims to elucidate the important protectiveelements of social relationships and identify concrete modifiable behavioral factors that contribute to biologicaland phenotypic aging in HCT survivors and can be used to develop biologically informed interventions toimprove quality of life and prolong the healthspan of individuals with accelerated aging.","12561283","RENTSCHER, KELLY E","Not Applicable","04","PSYCHIATRY","937639060","E8VWJXMMUQ67","937639060","E8VWJXMMUQ67","US","43.04575","-88.020374","46001","MEDICAL COLLEGE OF WISCONSIN","MILWAUKEE","WI","SCHOOLS OF MEDICINE","532263548","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM","866","Other Research-Related","2024","114262"," ","NIA","105798","8464"," ","NIA","10845457","6/20/2024 12:00:00 AM","PA-19-126","5K01AG065485-05","5","K01","AG","065485","05"," ","NECKA, ELIZABETH ANNE","9/1/2020 12:00:00 AM","5/31/2025 12:00:00 AM","Behavior and Social Science of Aging Study Section[NIA-S]"," ","114262",
"No NIH Category available"," ","Music listening interventions for children receiving mechanical ventilation: A mechanistic trial","PROJECT NARRATIVEChildren who are critically ill and receiving mechanical ventilation are at increased risks for experiencing highlevels of stress and pain which negatively impacts immediate and long-term health. The current standard ofcare for treating stress and pain is to provide analgesic and sedative medications which are associated withincreased risk of delirium and posttraumatic stress disorder. This randomized crossover trial will compare theeffects of live and recorded music listening on biomarkers of stress and pain among children receivingmechanical ventilation in the pediatric intensive care unit to identify the key components of a music listeningintervention and explore its mechanism of action i.e. the biological pathway through which music listeningdecreases stress and pain.","15207158","JARVIS, JESSICA ","Not Applicable","12","PHYSICAL MEDICINE & REHAB","004514360","MKAGLD59JRL1","004514360","MKAGLD59JRL1","US","40.440909","-79.959125","2059802","UNIVERSITY OF PITTSBURGH AT PITTSBURGH","PITTSBURGH","PA","SCHOOLS OF MEDICINE","152133320","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","865","Other Research-Related","2024","131658"," ","NICHD","121906","9752"," ","NICHD","10845283","6/24/2024 12:00:00 AM","PA-20-206","5K23HD106011-03","5","K23","HD","106011","03"," ","OCTOBER, TESSIE","9/5/2022 12:00:00 AM","6/30/2027 12:00:00 AM","Function, Integration, and Rehabilitation Sciences Study Section[CHHD-K]"," ","131658",
"No NIH Category available","Address;Advocate;Air;American Society of Clinical Oncology;Area;Asian;Basic Science;Black race;Breast;COVID-19 pandemic;Cancer Advocacy;Cancer Burden;Cancer Center Support Grant;Cancer Control;Cancer Patient;Cancer health equity;Caring;Catchment Area;Cervix Uteri;Chemical Exposure;Chicago;Cities;Climate;Clinical Sciences;Clinical Trials;Collaborations;Colorectal;Communities;Community Health Aides;Community Outreach;Comprehensive Cancer Center;Continuity of Patient Care;County;Data;Data Analyses;Disparity;Education;Educational Activities;Enrollment;Environmental Exposure;Environmental Risk Factor;Equity;Ethnic Population;Faculty;Fostering;Funding;Future;Geographic Information Systems;Geographic Locations;Grant;Health Services Accessibility;Health system;Hispanic;Human Papilloma Virus Vaccination;Improve Access;Incidence;Indiana;Individual;Information Dissemination;Infrastructure;Intervention;Investments;Lead;Leadership;Link;Liver;Lung;Malignant Neoplasms;Mediating;Medicaid;Medical center;Medicine;Minority Groups;Mission;Monitor;Neighborhoods;Not Hispanic or Latino;Obesity;Online Systems;Oropharyngeal;Outcome Measure;Patients;Policies;Population;Population Growth;Population Sciences;Poverty;Process Measure;Prostate;Public Health;Research;Research Personnel;Research Priority;Resources;Risk Behaviors;Role;Science;Screening for cancer;Services;Statutes and Laws;Strategic Planning;Supportive care;Testing;Tobacco use;Training and Education;Translational Research;Tumor Markers;Underrepresented Minority;Universities;Urban Health;Viral;Vision;Vulnerable Populations;anti-cancer research;bilingualism;cancer care;cancer education;cancer prevention;cancer therapy;care delivery;community advisory board;community collaboration;community engagement;community engagement process;community partners;community research;cooking;data infrastructure;data visualization;digital;hispanic community;improved;innovation;literacy;member;modifiable risk;mortality;outreach;population health;programs;racial population;screening;skills training;social deprivation;social health determinants;survivorship;telehealth;tobacco control;treatment trial;trend","Community Outreach and Engagement","n/a","9420304","KIM, KAREN E","Not Applicable","01","Unavailable","005421136","ZUE9HKT2CLC9","005421136","ZUE9HKT2CLC9","US","41.789554","-87.601172","1413601","UNIVERSITY OF CHICAGO","CHICAGO","IL","Domestic Higher Education","606372612","UNITED STATES","N","4/1/2024 12:00:00 AM","3/31/2025 12:00:00 AM"," ","Research Centers","2024"," ","398169"," ","242786","155383"," ","NCI","10845098","3/26/2024 12:00:00 AM","PAR-21-321","2P30CA014599-48","2","P30","CA","014599","48"," "," ","9/1/1997 12:00:00 AM","3/31/2029 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","6854"," ",
"No NIH Category available","Address;Advocate;Affect;African ancestry;Alcoholic beverage heavy drinker;Area;Arsenic;Behavior;Black Populations;Breast Cancer Risk Factor;Cancer Burden;Cancer Center;Cancer Center Support Grant;Cancer Control;Cancer Detection;Cancer Etiology;Cancer Survivor;Carcinogenesis Mechanism;Case/Control Studies;Catchment Area;Chemical Exposure;Chicago;Clinical;Clinical Research;Clinical Trials;Collaborations;Communities;Comprehensive Cancer Center;Data Commons;Data Sources;Detection;Discipline;Ensure;Epigenetic Process;Faculty;Faculty Recruitment;Fostering;Friends;Funding;Future;Genes;Genetic;Genetic Risk;Goals;Health;Health Policy;Hepatitis C;Hispanic Populations;Immunotherapy;Infrastructure;Interdisciplinary Study;International;Intervention;Investments;Journals;Knowledge;Lesbian Gay Bisexual Transgender Queer;Life Style;Malignant Breast Neoplasm;Malignant Neoplasms;Malignant neoplasm of liver;Malignant neoplasm of lung;Medicine;Mentorship;Mission;Modeling;NCI Center for Cancer Research;Obesity;Patients;Pharmaceutical Preparations;Pilot Projects;Population;Population Sciences;Predisposition;Prevention;Primary Prevention;Productivity;Public Health Practice;Publications;Research;Research Infrastructure;Research Priority;Resource Sharing;Resources;Risk Factors;Scientist;Screening for cancer;Seminal;Shapes;Smoker;Strategic Planning;Technology;Testing;Therapeutic;Training;Translating;United States National Institutes of Health;Universities;Woman;Work;cancer health disparity;cancer imaging;cancer prevention;cancer risk;cancer subtypes;cellular engineering;childhood cancer survivor;clinical care;clinical practice;cohort;community setting;disparity reduction;epigenomics;epitranscriptomics;equity diversity and inclusion;health care settings;health communication;health related quality of life;imaging approach;imaging modality;improved;improved outcome;innovation;member;next generation;novel;polygenic risk score;precision medicine;precision oncology;prevent;programs;recruit;screening;screening guidelines;social structure;sociodemographics;socioeconomics;structural determinants;survivorship;synergism;tobacco cessation intervention;tumor immunology;tumor metabolism;working group","Cancer Prevention and Control","n/a","9837335","PIERCE, BRANDON LEE","Not Applicable","01","Unavailable","005421136","ZUE9HKT2CLC9","005421136","ZUE9HKT2CLC9","US","41.789554","-87.601172","1413601","UNIVERSITY OF CHICAGO","CHICAGO","IL","Domestic Higher Education","606372612","UNITED STATES","N","4/1/2024 12:00:00 AM","3/31/2025 12:00:00 AM"," ","Research Centers","2024"," ","49088"," ","29932","19156"," ","NCI","10845095","3/26/2024 12:00:00 AM","PAR-21-321","2P30CA014599-48","2","P30","CA","014599","48"," "," ","9/1/1997 12:00:00 AM","3/31/2029 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]","6851"," ",
